Sigma,Alpha,Seed,Cost,Peak
0.75,0.05,14,15.673982415954576,7.483239597835776
0.75,0.05,8,17.869845159610232,4.8775448724125114
0.75,0.05,11,17.350336027280164,4.668905345024736
0.75,0.05,7,23.67815465818959,5.863233294972471
0.75,0.05,10,21.192165129680365,5.244099479382924
0.75,0.05,12,20.655806355375187,6.1242889631435755
0.0,0.15,2,26.60554577295324,12.148509802076077
0.0,0.15,1,30.454350242356973,12.900700316622654
0.75,0.05,15,15.787804052975007,5.595128152880235
0.0,0.15,3,27.22944978313149,11.453407554892621
0.0,0.15,4,24.170499930273692,10.514922625157244
0.0,0.15,5,23.449217399518876,10.0
0.75,0.05,18,20.881830279964316,5.439799787377122
0.0,0.15,6,30.71024884285704,12.653367622366632
0.0,0.15,8,22.6520443457156,11.27153681360568
0.0,0.15,7,30.748706701374687,12.285819690404704
0.0,0.15,9,24.35849781543727,10.419527181072299
0.75,0.05,17,20.6395457905173,4.955527834585381
0.75,0.05,13,20.3452130278079,4.773777384474772
0.0,0.15,10,26.662600640272153,10.324876605991447
0.0,0.15,11,21.347203595599932,10.428605026997719
0.75,0.05,16,21.252905874258534,5.523619738459435
0.0,0.15,12,25.299738162112018,12.386279205675574
0.0,0.15,13,26.081562345033845,10.0
0.0,0.15,14,17.926884487669557,11.12130187200147
0.75,0.05,19,18.371832982108756,4.537959566436797
0.0,0.15,15,20.48785881013895,10.0
0.0,0.15,16,25.49999348351745,10.0
0.0,0.15,17,25.77181364030558,11.926865405471164
0.0,0.15,18,24.873453384462863,10.885450680550761
0.0,0.15,19,22.33988940091806,10.394449118772702
0.1,0.15,1,31.18216006775433,12.278840481972653
0.1,0.15,2,26.44687245268279,11.526649963392192
0.1,0.15,3,27.255752806466564,9.565196648001892
0.1,0.15,5,23.271718285678684,9.547938099341184
0.1,0.15,6,31.092476399916173,12.777111022366633
0.1,0.15,4,24.345035815895073,9.893062786207889
0.1,0.15,7,31.008799579473422,12.943303765849427
0.1,0.15,8,22.774489784734946,10.649676974455586
0.1,0.15,9,24.53371743460639,9.665456934638552
0.1,0.15,10,26.95856832159511,9.789344952591446
0.1,0.15,11,21.618412354615693,9.806745188048204
0.1,0.15,14,17.68112748884591,10.592980143853156
0.1,0.15,13,26.524628568881646,9.490277829520537
0.1,0.15,15,20.378684734182297,9.581654462240188
0.1,0.15,12,25.130643068974972,11.961600783925572
0.1,0.15,16,25.804634213747878,9.49342264876302
0.1,0.15,17,25.39200740766554,10.264576630564285
0.1,0.15,18,25.103920178650693,9.784063497315675
0.1,0.15,19,22.426359725257473,9.54111102565388
0.25,0.15,5,23.019422689676396,8.869845030267523
0.25,0.15,3,27.74127343262205,8.912991410245224
0.25,0.15,4,24.88453978291742,9.038164393666097
0.25,0.15,6,32.22973451579458,12.156343492366632
0.25,0.15,2,27.165509779561535,10.237390716076078
0.25,0.15,8,23.167229800362936,9.716886973593061
0.25,0.15,1,32.74815433263629,11.072891908574137
0.25,0.15,9,24.372796985610456,9.163642175204828
0.25,0.15,7,31.89100537282347,9.847196318913245
0.25,0.15,12,25.711707565079085,11.324582955450573
0.25,0.15,11,21.959504625208947,8.873955179624092
0.25,0.15,14,17.066043063478226,9.795763229711135
0.25,0.15,13,27.63043933791885,8.837643103010329
0.25,0.15,10,27.447136237360453,9.032991162075229
0.25,0.15,15,20.503901629902177,9.074820326444073
0.25,0.15,17,25.75731417699406,10.586113200038087
0.25,0.15,16,26.522530095976148,8.733556377522557
0.25,0.15,18,26.24287714962745,8.781085956406308
0.25,0.15,19,23.06699316277733,8.852777342755715
0.5,0.15,3,26.501793375842855,9.030261882492763
0.5,0.15,4,24.139734233595778,8.076328416122315
0.5,0.15,5,22.209857396932737,8.257917436046565
0.5,0.15,9,22.882598861154772,8.32728402762655
0.5,0.15,14,16.10327145474837,8.178405797901192
0.5,0.15,1,33.00152890364655,9.518242823294912
0.5,0.15,11,21.467995814020618,7.7310916194169526
0.5,0.15,12,25.378529096962996,9.994772128101014
0.5,0.15,2,27.162714444065603,7.873497553088373
0.5,0.15,8,22.256939434480557,7.848204242144061
0.5,0.15,6,31.924237365793893,10.312304207663292
