Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA
0.25,0.01,8,99.13273578925455,94.3386846955098,100.0
0.25,0.01,10,95.55897319820792,95.53513262457416,100.0
0.25,0.01,7,88.26960935281359,94.58783053258345,100.0
0.25,0.01,11,96.61425871898491,95.37798072346038,100.0
0.25,0.01,14,96.94322971732447,94.24478194213096,100.0
0.25,0.01,12,95.14263117264008,89.04096454751375,100.0
0.5,0.01,5,89.26248205805554,83.76204835121497,100.0
0.5,0.01,4,89.15953627559581,90.89612096238164,100.0
0.5,0.01,3,95.73137767968709,98.29193898960432,100.0
0.5,0.01,2,88.99958786035063,87.0666910786664,100.0
0.25,0.01,15,96.96424186177256,92.50991765226337,100.0
0.25,0.01,13,87.74875474682781,92.6265546113073,100.0
0.25,0.01,18,86.75849950079643,86.80395807878386,100.0
0.25,0.01,17,97.2671415328834,93.43378911503768,100.0
0.25,0.01,19,88.75972269929076,91.33096221381079,100.0
0.25,0.01,16,90.06345347740759,86.16646577526056,100.0
0.5,0.01,8,97.38087418853884,97.92372431643807,100.0
0.5,0.01,9,95.93858000683258,98.233667492756,100.0
0.5,0.01,11,97.43020421775161,98.23915593515447,100.0
0.5,0.01,14,95.23001742456715,97.88928580110316,100.0
0.5,0.01,12,94.20450952129144,76.11258647706866,100.0
0.5,0.01,15,96.1865065633742,97.25302794728023,100.0
0.5,0.01,13,88.96978036995627,89.76927214489663,100.0
0.5,0.01,19,91.0601402735617,89.02705488413122,100.0
0.5,0.01,17,95.30975741362803,97.578336811458,100.0
0.5,0.01,18,86.54441690844813,64.39742833152748,100.0
0.5,0.01,16,90.28275048017063,83.93617463578818,100.0
0.75,0.01,5,88.97644344831501,84.00467634947417,100.0
0.75,0.01,3,95.68924652575474,88.80331536376941,100.0
0.75,0.01,4,88.7379686277615,77.20124780669258,100.0
0.5,0.01,10,96.5530711919599,98.36251912085287,100.0
0.75,0.01,2,87.63709591293917,65.31146614565839,100.0
0.75,0.01,8,98.6395334663311,94.57057532826593,100.0
0.5,0.01,7,90.87345380225271,93.70068134863257,100.0
0.75,0.01,9,96.3206337422845,83.78887282728174,100.0
0.75,0.01,11,98.91139096019236,97.78602355572548,100.0
0.75,0.01,12,94.50079468860382,74.90318373145236,100.0
0.75,0.01,15,95.7599958463741,76.71933240676927,100.0
0.75,0.01,14,96.17632046996249,88.29430571681665,100.0
0.75,0.01,19,92.06825094389212,86.8934368473644,100.0
0.75,0.01,16,89.96608778763454,82.09036207861725,100.0
0.5,0.01,1,96.65106648816655,98.57660767115301,100.0
0.75,0.01,10,97.52943615383084,96.34271679064574,100.0
0.0,0.05,2,87.83169864492874,85.50538195720586,100.0
0.75,0.01,13,88.10593398824994,68.76862803504794,100.0
0.5,0.01,6,88.25310388970789,67.6866372152274,100.0
0.0,0.05,1,98.09462379301405,93.83384157744433,100.0
0.75,0.01,17,96.41767169066313,94.12304222170478,100.0
0.0,0.05,3,93.59998538768527,92.39342847880143,100.0
0.0,0.05,5,86.3066562535387,89.27136863766522,100.0
0.0,0.05,4,88.43312525386105,91.57452607996622,100.0
0.0,0.05,6,87.17936892521223,88.13580099292719,100.0
0.75,0.01,18,87.30398652978619,64.39742833152748,100.0
0.0,0.05,12,94.49554717631806,74.04232013377732,100.0
0.0,0.05,9,97.36037642475362,93.82199690590261,100.0
0.0,0.05,7,88.82475906869192,95.47349924902205,100.0
0.0,0.05,14,98.04243685867235,91.88261441075058,100.0
0.0,0.05,11,95.94743366713645,92.42028662429202,100.0
0.0,0.05,8,98.95335358769859,90.87602909029778,100.0
0.0,0.05,15,98.15574047795555,90.28935203059932,100.0
0.0,0.05,13,88.56170403729602,93.75372560700959,100.0
0.0,0.05,10,95.15849584870627,92.70774603106538,100.0
0.0,0.05,17,98.18622959425912,93.14628803792527,100.0
0.0,0.05,16,90.24491007296251,87.89213307599053,100.0
0.0,0.05,18,87.50375358234736,85.2829762097054,100.0
0.75,0.01,6,86.64211638274347,67.6866372152274,100.0
0.1,0.05,2,88.38000135406394,83.8579597225897,100.0
0.1,0.05,3,93.7113614536879,93.22754178499673,100.0
0.1,0.05,5,86.75165308593958,90.44783745172268,100.0
0.0,0.05,19,88.47654072654416,91.95407862825921,100.0
0.75,0.01,7,90.46297517230148,78.42484879793238,100.0
0.1,0.05,4,88.53263708681645,91.74784762737177,100.0
0.1,0.05,1,97.85480644367912,94.35625249215234,100.0
0.1,0.05,9,97.30210831199354,94.63290629394601,100.0
0.1,0.05,6,87.55139621686857,85.30747391610328,100.0
0.1,0.05,8,99.01405780884203,91.76757189044878,100.0
0.1,0.05,7,88.40400021821587,95.96986144010532,100.0
0.75,0.01,1,95.83572779037848,88.41561499389266,100.0
0.1,0.05,10,95.25699180406946,93.50739223838657,100.0
0.1,0.05,11,96.21084733574219,94.42466899404491,100.0
0.1,0.05,14,97.70889350324666,91.63102276274572,100.0
0.1,0.05,12,94.17584341953975,73.00774997966687,100.0
0.1,0.05,15,98.07667223445385,91.376188011198,100.0
0.1,0.05,13,87.19513716067526,94.43867290170344,100.0
0.1,0.05,17,97.92743714321578,93.14628803792527,100.0
0.1,0.05,18,86.81164684149365,88.58987884348113,100.0
0.1,0.05,16,90.58265406179817,89.97059895329821,100.0
0.25,0.05,5,88.32674505929283,91.27297148310521,100.0
0.25,0.05,3,93.95688693401148,94.47871123718492,100.0
0.25,0.05,2,87.60608928896129,83.89074564167421,100.0
0.1,0.05,19,87.28077788711013,92.93631204769068,100.0
0.25,0.05,4,88.11698900171179,90.51250127102685,100.0
0.25,0.05,1,97.50983854203889,95.39889967483101,100.0
0.25,0.05,6,87.90841743593144,84.16422501948713,100.0
0.25,0.05,9,97.26407595851677,95.02917587807326,100.0
0.25,0.05,7,88.63244505397557,95.32378493491674,100.0
0.25,0.05,8,99.13704326417164,93.28846168275308,100.0
0.25,0.05,14,97.32510836976817,93.17713915547797,100.0
