Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA
0.1,0.05,2,-22.69833590877389,60.1646208019883,100.0
0.25,0.05,2,-26.239403707389563,38.11106035850717,100.0
0.75,0.05,4,-18.169316373634746,6.583001081118238,100.0
0.5,0.05,2,-29.00422046696457,7.849605098064099,100.0
0.5,0.05,1,-24.128085930948025,-12.315702064918762,100.0
0.5,0.05,3,0.3425602180563819,14.660118962391982,100.0
0.75,0.05,3,-21.136463966230874,34.98736362994039,100.0
0.75,0.05,2,-8.416917855237145,3.449915413373556,100.0
0.0,0.15,4,-31.1347230409578,47.72842718792859,100.0
0.75,0.05,0,-38.86716111630374,25.352045671764945,100.0
0.1,0.15,4,-24.841789936442584,57.053741962253355,100.0
0.75,0.05,1,-9.91422390917999,-14.023232643707075,100.0
0.0,0.15,3,2.2877827015262286,68.4303321150859,100.0
0.0,0.15,0,-32.12237286801334,57.852484730934385,100.0
0.25,0.15,4,-31.419457472987506,60.415052803375644,100.0
0.1,0.15,3,-2.545327676816388,72.61017539972673,100.0
0.1,0.15,0,-30.3917711921403,63.99225400951668,100.0
0.0,0.15,2,-22.36092638761022,60.419777271154786,100.0
0.0,0.15,1,-11.615929719430321,61.92819617023976,100.0
0.25,0.15,3,-10.697981209027624,73.3855861345833,100.0
0.1,0.15,2,-20.69521835612061,64.11234524438345,100.0
0.25,0.15,0,-30.96016723419182,62.56219310131163,100.0
0.5,0.15,4,-51.2006842952259,20.629847874310514,100.0
0.5,0.15,2,-27.21274092472909,19.345520230565015,100.0
0.5,0.15,3,-15.908099066633289,38.34158447201075,100.0
0.1,0.15,1,-9.827607108073389,57.47924916047945,100.0
0.25,0.15,2,-21.16744359494287,52.185214627257615,100.0
0.5,0.15,1,-12.455079935517665,35.06821917607007,100.0
0.5,0.15,0,-32.19397885246982,39.44295088956798,100.0
0.75,0.15,0,-8.076098270966895,62.11423024212262,100.0
0.75,0.15,4,-27.71110046144014,50.68325741292239,100.0
0.25,0.15,1,-12.772584305188376,56.497510811645036,100.0
0.75,0.15,2,-21.470720062972052,7.504897298165347,100.0
0.75,0.15,1,-22.089059642712552,-11.408919227343487,100.0
0.0,0.3,4,-19.607799230782124,57.00812110661744,100.0
0.75,0.15,3,-15.259696201988222,40.397611363145266,100.0
0.0,0.3,3,-2.399236435036625,68.4303321150859,100.0
0.0,0.3,0,-32.6024716100734,54.55351963395066,100.0
0.1,0.3,3,0.8029437056771154,72.30525570884437,100.0
0.1,0.3,4,-20.889676843708703,59.48487996238955,100.0
