Sigma,Alpha,Seed,Cost,Peak
0.25,0.3,17,56.008150027705504,16.84638149339988
0.25,0.3,14,55.83095677576675,14.476414405758371
0.5,0.3,2,49.860925995105475,17.018670307803603
0.25,0.3,16,58.4021063387905,17.217116838385312
0.5,0.3,3,44.66099671877755,11.227393926212311
0.5,0.3,12,37.5750426947183,12.765872151246972
0.5,0.3,0,52.39444017388296,14.542395451141111
0.5,0.3,4,47.07653011336046,11.077630069387189
0.5,0.3,5,51.28820128969373,15.638583350631077
0.5,0.3,9,42.82133215783815,12.461973786076564
0.5,0.3,7,51.330471718129864,15.24470518924712
0.5,0.3,8,49.35624985111587,15.887772521771444
0.5,0.3,6,51.723292715656925,14.194960855469361
0.5,0.3,15,57.30302890375241,15.252022082348471
0.5,0.3,10,51.856925775681276,19.117375222986876
0.5,0.3,11,57.9080159134508,14.883621662128313
0.5,0.3,18,52.86570484777941,13.05774142590814
0.75,0.3,2,52.37150926754515,13.39367801979324
0.5,0.3,17,48.61937103194398,16.136128992128857
0.5,0.3,13,60.89361600449347,14.69224977534208
0.5,0.3,14,56.64109233741845,15.275206311580188
0.75,0.3,0,49.02105754963239,16.96700087292062
0.5,0.3,19,61.51691184184125,16.104609414360667
0.75,0.3,3,51.76831687625265,14.286303503049385
0.75,0.3,1,53.65892849561845,14.014963248193268
0.5,0.3,16,64.9353298672541,17.48571919284431
0.75,0.3,6,49.301453039280894,17.09921378700507
0.75,0.3,8,54.43429373016509,13.02282230215412
0.75,0.3,4,57.33808984603542,16.120266826790154
0.75,0.3,9,48.28873538761258,12.224424098951545
0.75,0.3,7,59.71214974482638,17.20944528497257
0.75,0.3,5,58.037977855236015,16.687425210826145
0.75,0.3,15,42.61771231389902,14.376112800757706
0.75,0.3,12,50.16926508605314,12.367272382204607
0.75,0.3,11,42.113636932500285,11.996702924215766
0.75,0.3,10,56.232122693660216,15.634745094612601
0.75,0.3,18,48.67199238039159,14.834180723882328
0.75,0.3,19,45.88564531107805,11.089908616838638
0.75,0.3,16,49.79165833742822,14.299189651977157
0.75,0.3,13,56.89153591549364,15.993231949156778
0.0,0.5,1,40.64823407917473,13.065906786066385
0.0,0.5,5,49.43589354656885,15.436831114896478
0.75,0.3,17,45.03712314403918,12.306901444314176
0.0,0.5,0,51.42253569740646,17.375824444981884
0.75,0.3,14,47.30675097581892,14.439863252771813
0.0,0.5,2,52.5730742862614,15.07757491311908
0.0,0.5,3,57.91255520347444,13.443625246515996
0.0,0.5,4,54.078327296972496,17.603987484137093
0.0,0.5,11,46.67247946699489,13.356951658102142
0.0,0.5,14,52.56527604807209,12.708978229227643
0.0,0.5,13,51.2254777180591,16.01510065952559
0.0,0.5,12,49.75575364204749,16.86189988538537
0.0,0.5,6,54.4890850831286,11.822274062610083
0.0,0.5,8,60.250959629955204,19.620319797821548
0.0,0.5,7,53.198020348101565,15.173209371644727
