Sigma,Alpha,Seed,Cost,Peak
0.25,0.01,19,52.05116511760876,15.243806397221809
0.5,0.01,7,49.64344682210771,13.270588480217034
0.5,0.01,1,54.145354262677216,18.573946457015595
0.5,0.01,6,49.1815486427777,12.776033204444417
0.5,0.01,9,45.524739057519014,14.943790611139612
0.5,0.01,10,51.712473715613484,15.084162478787443
0.5,0.01,11,46.99317924823513,12.721125868760758
0.5,0.01,16,47.49995022774366,11.32192843126208
0.5,0.01,3,50.3429602120206,13.33420664137935
0.5,0.01,14,54.91493487178216,13.662739843042694
0.5,0.01,17,56.20134799627667,13.830271999714611
0.5,0.01,18,45.15937023310188,12.60330210501805
0.75,0.01,0,49.15421456744169,12.219270054201482
0.5,0.01,15,60.34806470757926,14.68098395533415
0.5,0.01,13,55.40504057182883,11.366275383308027
0.5,0.01,12,57.335796544473396,18.913254443992127
0.75,0.01,1,50.430989796807445,13.605990943037298
0.75,0.01,4,51.16829754563325,12.558454631743427
0.75,0.01,3,54.46717727234754,12.918016384716715
0.75,0.01,2,48.90733484353979,13.137317604935298
0.5,0.01,19,57.7997594809503,17.518011381957386
0.75,0.01,6,42.30086432893999,11.290313867030372
0.75,0.01,7,53.32473852835294,17.673414833868158
0.75,0.01,5,55.66294054877472,12.041338032061834
0.75,0.01,8,48.341217224024106,12.368186637331092
0.75,0.01,9,47.953571765254935,10.464266700000001
0.75,0.01,14,44.25390319547949,12.389332124836427
0.75,0.01,11,47.96182220207981,12.528623108774937
0.75,0.01,17,47.322679020599814,11.141945472391882
0.75,0.01,18,46.458678797484986,11.358111846594547
0.75,0.01,10,59.25952540030922,15.09313887903656
0.75,0.01,15,52.62765352614108,11.727854414842017
0.75,0.01,13,59.57637608184548,12.343688356090382
0.75,0.01,12,56.868880972104094,11.93874177366073
0.75,0.01,16,51.285114541949305,13.719971607359472
0.75,0.01,19,55.07767748141245,12.62290077298307
0.0,0.05,0,52.10099961413567,16.552459399660925
0.0,0.05,5,44.6219388475131,15.29786591474911
0.0,0.05,3,48.69503155872141,12.685961246113138
0.0,0.05,2,53.57561736918124,19.395070837530902
0.0,0.05,7,52.48529610793788,18.36580133736701
0.0,0.05,11,43.628668023858125,12.759951102410627
0.0,0.05,1,66.42306483990883,18.271913208958534
0.0,0.05,6,53.33552976381072,14.964177352280306
0.0,0.05,8,56.27298485876878,19.014037060053674
0.0,0.05,9,60.16354233720899,16.687357419159106
0.0,0.05,10,58.96645152257314,17.33841284826604
0.0,0.05,19,45.262422463064404,15.637471251868462
0.0,0.05,4,64.74511057032214,15.355953927218158
0.0,0.05,16,51.7524295361474,15.40961397704773
0.0,0.05,14,46.911137427240895,12.213377426136857
0.0,0.05,17,50.302142806852885,14.39608816101846
0.0,0.05,15,49.59457395656711,14.720759044606876
0.0,0.05,13,57.55050120787285,16.567612163301426
0.0,0.05,12,59.61296119203298,18.158239184209762
0.1,0.05,0,55.38791862519038,13.776476634935008
0.0,0.05,18,51.31426598005477,15.67933673715187
0.1,0.05,2,54.91502986493355,12.703632782321396
0.1,0.05,1,55.34745709806879,16.137636976256413
0.1,0.05,6,50.072446877807096,13.941822944961164
0.1,0.05,10,44.027345559614766,10.895533851294266
0.1,0.05,3,46.21783268451679,11.79245044665934
0.1,0.05,4,48.355537886888975,17.551858705227765
0.1,0.05,8,44.97677307883763,14.269327737796202
0.1,0.05,9,56.48218580918198,13.529293266198088
0.1,0.05,12,53.16226580021229,18.121810502986634
0.1,0.05,7,62.69793316891812,22.392374364079345
0.1,0.05,5,53.28765627794799,13.750778372702122
