Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA,Smart_Breach_Count,Smart_Breach_Energy,Open_Breach_Count,Open_Breach_Energy,Smart_Peak,Open_Peak,Smart_Cost,Open_Cost,Smart_Energy,Open_Energy
0.5,0.05,0,18.477158547524688,56.62691198472898,94.36016353571446,3,1.7994038889897945,9,26.429462920267863,7.02502816797959,16.196744316443834,8.192366340432617,10.04916682793552,68.41830669001884,49.49019033571015
0.25,0.05,3,33.127992035777986,72.34598462207684,94.78113730559318,1,0.06663977057807458,11,30.17216075142305,5.133279541156149,18.562510619178163,7.869822032856849,11.768484710474636,74.262126186891,47.51096416725644
0.0,0.01,14,95.73006089407741,-9.726076986152709,100.0,1,0.2565975279218202,1,0.012253790199479475,5.5131950558436404,5.024507580398959,0.13376671701293397,3.132754676229311,32.40361630303393,7.429660091921379
0.0,0.01,9,37.22612702511493,66.4525608028881,96.4457082779876,3,0.6544018587176343,6,20.277453636593368,5.592499792686336,16.670422322928886,3.9500768502036268,6.292549213562139,60.88296482085075,27.85621088793636
0.0,0.01,11,49.79606348900212,71.01898305075677,97.8139852728057,1,0.07609401904689239,6,21.218829558107984,5.152188038093785,17.77780278420603,3.3998699908545866,6.772118337990881,51.13879630972496,24.35119029125366
0.0,0.01,15,67.19773988225649,55.870304116962245,98.83701026513772,0,0.0,5,11.468696502879357,4.945585497385572,11.206933105755935,1.3686251293636982,4.172350089448185,39.46255199508638,12.109678016523349
0.0,0.01,5,28.549614711513165,47.7323857235402,96.85056004538028,3,1.0642211400480037,7,13.041492891399795,6.042917301710834,11.561494407890802,5.397393721408774,7.554044249889417,59.76799840899525,35.41746021993941
0.0,0.01,8,45.465365533019394,52.30749139771821,97.01298045924827,1,0.33525424784121594,6,12.62598564897865,5.670508495682432,11.889725791046214,5.309644019288902,9.736278735862367,55.25177255647572,32.13184171403433
0.1,0.01,5,25.30336207941078,37.7638790502438,96.92369262088968,4,1.4328448689129734,7,13.041492891399795,7.195425643294218,11.561494407890802,5.642617081700988,7.554044249889417,58.54908830032076,35.41746021993941
0.0,0.01,18,51.59588157413696,66.45066001460891,94.65158970451144,4,1.3659169191903153,8,24.88610095775853,6.068015550208959,18.086840315938407,5.42102200580561,11.199505707574414,69.36627820196847,31.595712669898873
0.0,0.01,19,29.343289526016257,71.7021881792023,98.05909245633106,0,0.0,6,22.89384231271379,4.998268359596125,17.66309137698982,5.435485098612109,7.692808032173376,57.94878948816479,33.25453606014231
